symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2016-10-12 00:00:00+00:00,26.12,26.46,26.0,26.14,2447119,20.9276408941,21.2000527587,20.8314955301,20.9436651215,2447119,0.0,1.0
GME,2016-10-13 00:00:00+00:00,25.47,26.14,25.35,26.0,2680261,20.4068535059,20.9436651215,20.3107081419,20.8314955301,2680261,0.0,1.0
GME,2016-10-14 00:00:00+00:00,25.38,25.69,25.11,25.58,3136105,20.3347444829,20.5831200065,20.1184174139,20.4949867562,3136105,0.0,1.0
GME,2016-10-17 00:00:00+00:00,24.7,25.57,24.65,25.32,5481480,19.7899207536,20.4869746425,19.7498601853,20.2866718009,5481480,0.0,1.0
GME,2016-10-18 00:00:00+00:00,24.82,25.11,24.775,24.97,2069377,19.8860661176,20.1184174139,19.8500116061,20.0062478226,2069377,0.0,1.0
GME,2016-10-19 00:00:00+00:00,25.0,25.01,24.45,24.88,2332978,20.0302841636,20.0382962773,19.589617912,19.9341387996,2332978,0.0,1.0
GME,2016-10-20 00:00:00+00:00,25.11,25.2,24.91,24.95,2266125,20.1184174139,20.1905264369,19.9581751406,19.9902235953,2266125,0.0,1.0
GME,2016-10-21 00:00:00+00:00,25.01,25.09,24.72,25.09,1753248,20.0382962773,20.1023931866,19.805944981,20.1023931866,1753248,0.0,1.0
GME,2016-10-24 00:00:00+00:00,25.14,25.37,24.85,25.37,1873860,20.1424537549,20.3267323692,19.9101024586,20.3267323692,1873860,0.0,1.0
GME,2016-10-25 00:00:00+00:00,24.75,25.15,24.6547,25.02,1909932,19.829981322,20.1504658686,19.7536258787,20.0463083909,1909932,0.0,1.0
GME,2016-10-26 00:00:00+00:00,24.77,25.19,24.35,24.73,3323900,19.8460055493,20.1825143232,19.5094967753,19.8139570946,3323900,0.0,1.0
GME,2016-10-27 00:00:00+00:00,23.99,24.906,23.89,24.84,2704157,19.2210606834,19.9549702951,19.1409395467,19.9020903449,2704157,0.0,1.0
GME,2016-10-28 00:00:00+00:00,23.9,24.22,23.69,23.99,1870065,19.1489516604,19.4053392977,18.9806972734,19.2210606834,1870065,0.0,1.0
GME,2016-10-31 00:00:00+00:00,24.05,24.18,23.76,23.95,2151583,19.2691333654,19.373290843,19.0367820691,19.1890122287,2151583,0.0,1.0
GME,2016-11-01 00:00:00+00:00,23.56,24.01,23.315,24.01,2499197,18.8765397958,19.2370849107,18.680243011,19.2370849107,2499197,0.0,1.0
GME,2016-11-02 00:00:00+00:00,20.93,21.54,20.1,20.59,13648521,16.7693539018,17.2580928354,16.1043484675,16.4969420371,13648521,0.0,1.0
GME,2016-11-03 00:00:00+00:00,20.83,20.92,20.52,20.77,5558864,16.6892327651,16.7613417881,16.4408572415,16.6411600831,5558864,0.0,1.0
GME,2016-11-04 00:00:00+00:00,20.73,21.22,20.605,20.79,3076377,16.6091116285,17.0017051981,16.5089602076,16.6571843104,3076377,0.0,1.0
GME,2016-11-07 00:00:00+00:00,21.24,21.53,20.75,21.0,2882276,17.0177294254,17.2500807217,16.6251358558,16.8254386974,2882276,0.0,1.0
GME,2016-11-08 00:00:00+00:00,20.91,21.25,20.86,21.14,1884191,16.7533296744,17.0257415391,16.7132691061,16.9376082887,1884191,0.0,1.0
GME,2016-11-09 00:00:00+00:00,21.53,21.61,20.501,20.59,1740793,17.2500807217,17.314177631,16.4256342255,16.4969420371,1740793,0.0,1.0
GME,2016-11-10 00:00:00+00:00,21.87,22.52,21.71,21.76,2523820,17.5224925863,18.0432799746,17.3942987677,17.434359336,2523820,0.0,1.0
GME,2016-11-11 00:00:00+00:00,22.32,22.37,21.5,21.81,2197353,17.8830377013,17.9230982696,17.2260443807,17.4744199043,2197353,0.0,1.0
GME,2016-11-14 00:00:00+00:00,22.99,23.29,22.4,22.44,2075834,18.4198493168,18.6602127268,17.9471346106,17.9791830652,2075834,0.0,1.0
GME,2016-11-15 00:00:00+00:00,22.65,22.99,22.19,22.93,2216792,18.1474374522,18.4198493168,17.7788802236,18.3717766348,2216792,0.0,1.0
GME,2016-11-16 00:00:00+00:00,23.06,23.18,22.44,22.53,1706586,18.4759341125,18.5720794765,17.9791830652,18.0512920882,1706586,0.0,1.0
GME,2016-11-17 00:00:00+00:00,23.46,23.5,23.01,23.31,1143916,18.7964186591,18.8284671138,18.4358735442,18.6762369541,1143916,0.0,1.0
GME,2016-11-18 00:00:00+00:00,23.46,23.54,23.025,23.37,1679016,18.7964186591,18.8605155684,18.4478917147,18.7243096361,1679016,0.0,1.0
GME,2016-11-21 00:00:00+00:00,23.46,23.57,23.16,23.53,2235999,18.7964186591,18.8845519094,18.5560552492,18.8525034548,2235999,0.0,1.0
GME,2016-11-22 00:00:00+00:00,24.11,24.21,23.6,23.69,3736062,19.3172060474,19.397327184,18.9085882504,18.9806972734,3736062,0.0,1.0
GME,2016-11-23 00:00:00+00:00,26.06,26.41,24.64,24.73,9390261,20.8795682121,21.1599921904,19.7418480716,19.8139570946,9390261,0.0,1.0
GME,2016-11-25 00:00:00+00:00,25.82,26.485,25.78,26.14,2313321,20.6872774842,21.2200830429,20.6552290295,20.9436651215,2313321,0.0,1.0
GME,2016-11-28 00:00:00+00:00,25.15,26.0,24.755,26.0,2815671,20.1504658686,20.8314955301,19.8339873788,20.8314955301,2815671,0.0,1.0
GME,2016-11-29 00:00:00+00:00,24.49,25.03,24.35,24.85,2321086,19.9181145723,20.3573053387,19.8042502995,20.2109084165,2321086,0.37,1.0
GME,2016-11-30 00:00:00+00:00,24.69,24.84,24.25,24.46,3191256,20.0807778191,20.2027752542,19.7229186761,19.8937150853,3191256,0.0,1.0
GME,2016-12-01 00:00:00+00:00,24.64,25.02,24.45,24.66,1441357,20.0401120074,20.3491721763,19.8855819229,20.0563783321,1441357,0.0,1.0
GME,2016-12-02 00:00:00+00:00,24.27,24.83,24.13,24.61,1572836,19.7391850008,20.1946420919,19.625320728,20.0157125204,1572836,0.0,1.0
GME,2016-12-05 00:00:00+00:00,24.52,24.88,24.27,24.44,2335298,19.9425140593,20.2353079036,19.7391850008,19.8774487606,2335298,0.0,1.0
GME,2016-12-06 00:00:00+00:00,24.89,24.93,24.59,24.65,1508025,20.2434410659,20.2759737153,19.9994461957,20.0482451697,1508025,0.0,1.0
GME,2016-12-07 00:00:00+00:00,25.94,26.11,25.16,25.17,2799271,21.0974231117,21.2356868715,20.4630364491,20.4711696114,2799271,0.0,1.0
GME,2016-12-08 00:00:00+00:00,25.97,26.175,25.54,26.0,3100226,21.1218225987,21.2885524267,20.772096618,21.1462220857,3100226,0.0,1.0
GME,2016-12-09 00:00:00+00:00,26.02,26.33,25.77,25.9,2451667,21.1624884104,21.414616443,20.9591593519,21.0648904623,2451667,0.0,1.0
GME,2016-12-12 00:00:00+00:00,26.42,26.47,25.77,26.06,2146189,21.487814904,21.5284807157,20.9591593519,21.1950210598,2146189,0.0,1.0
GME,2016-12-13 00:00:00+00:00,26.39,26.845,26.33,26.51,2399343,21.463415417,21.8334743035,21.414616443,21.5610133651,2399343,0.0,1.0
GME,2016-12-14 00:00:00+00:00,25.28,26.42,25.187,26.34,2373293,20.5606343972,21.487814904,20.4849959874,21.4227496053,2373293,0.0,1.0
GME,2016-12-15 00:00:00+00:00,25.34,25.71,25.1,25.27,1964858,20.6094333712,20.9103603778,20.4142374751,20.5525012348,1964858,0.0,1.0
GME,2016-12-16 00:00:00+00:00,25.42,25.68,25.29,25.35,3383294,20.67449867,20.8859608908,20.5687675595,20.6175665336,3383294,0.0,1.0
GME,2016-12-19 00:00:00+00:00,25.9,25.91,25.41,25.41,1316686,21.0648904623,21.0730236246,20.6663655076,20.6663655076,1316686,0.0,1.0
GME,2016-12-20 00:00:00+00:00,26.12,26.1599,25.84,25.86,1031652,21.2438200338,21.2762713515,21.0160914883,21.0323578129,1031652,0.0,1.0
GME,2016-12-21 00:00:00+00:00,26.39,26.54,25.85,26.07,1879529,21.463415417,21.5854128521,21.0242246506,21.2031542221,1879529,0.0,1.0
GME,2016-12-22 00:00:00+00:00,25.06,26.37,25.04,26.37,2296463,20.3817048257,21.4471490923,20.365438501,21.4471490923,2296463,0.0,1.0
GME,2016-12-23 00:00:00+00:00,25.41,26.01,25.32,25.56,1977460,20.6663655076,21.1543552481,20.5931670466,20.7883629427,1977460,0.0,1.0
GME,2016-12-27 00:00:00+00:00,25.95,26.0,25.4,25.41,1596172,21.105556274,21.1462220857,20.6582323453,20.6663655076,1596172,0.0,1.0
GME,2016-12-28 00:00:00+00:00,25.27,25.95,25.08,25.79,1716127,20.5525012348,21.105556274,20.3979711504,20.9754256766,1716127,0.0,1.0
GME,2016-12-29 00:00:00+00:00,25.34,25.76,25.24,25.24,1714844,20.6094333712,20.9510261895,20.5281017478,20.5281017478,1714844,0.0,1.0
GME,2016-12-30 00:00:00+00:00,25.26,25.75,25.215,25.42,1747350,20.5443680725,20.9428930272,20.507768842,20.67449867,1747350,0.0,1.0
GME,2017-01-03 00:00:00+00:00,25.37,25.47,25.018,25.44,1941351,20.6338328583,20.7151644817,20.3475455439,20.6907649946,1941351,0.0,1.0
GME,2017-01-04 00:00:00+00:00,25.92,26.05,25.58,25.58,2243545,21.081156787,21.1868878974,20.8046292674,20.8046292674,2243545,0.0,1.0
GME,2017-01-05 00:00:00+00:00,25.0,25.56,24.9,25.56,3037617,20.3329058516,20.7883629427,20.2515742282,20.7883629427,3037617,0.0,1.0
